13,67
11,58
13,75
9,42
10,49
15,85
9,45
11,60
13,78
14,79
10,50
12,67
11,55
15,92
14,84
6,25
9,41
8,40
8,36
8,39
10,51
15,89
9,40
9,45
13,74
5,15
7,28
7,31
5,19
10,52
14,81
13,71
10,52
9,47
12,63
8,39
12,66
15,94
15,92
7,31
15,86
11,58
10,56
14,85
11,58
9,45
11,55
7,33
5,19
10,49
5,19
6,26
5,19
5,19
9,43
7,26
6,22
8,33
13,76
12,65
14,84
15,91
12,65
5,19
8,36
12,67
10,54
14,81
13,71
10,52
8,40
11,59
15,86
8,32
8,34
7,30
15,91
5,19
15,85
9,46
8,40
6,24
8,41
15,91
8,39
8,40
14,87
14,80
11,61
12,68
8,37
10,49
8,38
7,31
14,83
15,91
14,81
6,20
14,82
11,59
